;fecha;hr_00;hr_06;hr_12;hr_18
0;1999-01-01;47,69;;;
1;1999-01-02;47,02;68,66;56,74;55,18
2;1999-01-03;50,67;63,55;58,05;51,81
3;1999-01-04;66,75;79,45;76,21;73,41
4;1999-01-05;44,94;55,48;55,12;55,50
5;1999-01-06;42,82;49,34;50,56;45,15
6;1999-01-07;49,85;55,06;53,47;50,40
7;1999-01-08;57,56;73,08;69,56;64,69
8;1999-01-09;56,51;55,09;55,84;57,78
9;1999-01-10;49,24;56,65;56,14;54,00
10;1999-01-11;60,49;65,79;67,43;63,23
11;1999-01-12;59,90;66,47;68,48;66,37
12;1999-01-13;51,26;65,31;66,57;59,23
13;1999-01-14;48,46;57,14;55,25;51,98
14;1999-01-15;46,11;61,57;62,77;55,47
15;1999-01-16;38,30;59,64;55,77;45,89
16;1999-01-17;44,48;52,29;54,65;48,31
17;1999-01-18;46,55;62,92;57,95;49,37
18;1999-01-19;76,07;74,64;82,66;90,55
19;1999-01-20;77,40;78,07;83,10;80,54
20;1999-01-21;65,00;75,67;72,91;70,72
21;1999-01-22;67,28;71,86;76,15;69,55
22;1999-01-23;89,33;93,41;92,09;89,54
23;1999-01-24;83,11;85,09;84,01;80,97
24;1999-01-25;65,20;80,30;80,44;71,34
25;1999-01-26;60,11;70,80;70,87;64,98
26;1999-01-27;69,98;77,47;76,71;73,56
27;1999-01-28;84,63;87,63;88,83;85,66
28;1999-01-29;90,77;95,13;95,89;97,28
29;1999-01-30;76,82;83,85;86,22;82,09
30;1999-01-31;50,62;55,95;46,66;53,73
31;1999-02-01;70,20;81,44;79,73;75,87
32;1999-02-02;80,96;79,50;80,48;83,93
33;1999-02-03;63,98;67,99;73,56;70,60
34;1999-02-04;55,32;64,74;66,06;58,74
35;1999-02-05;58,32;71,05;64,25;60,56
36;1999-02-06;92,11;97,86;92,83;97,47
37;1999-02-07;68,49;72,55;72,19;71,50
38;1999-02-08;67,33;72,16;73,12;69,92
39;1999-02-09;60,75;69,77;71,79;64,61
40;1999-02-10;54,28;66,27;65,04;58,30
41;1999-02-11;58,89;60,21;58,70;59,26
42;1999-02-12;72,26;86,83;77,80;73,32
43;1999-02-13;85,99;83,67;86,51;85,35
44;1999-02-14;65,78;76,04;77,29;69,36
45;1999-02-15;62,01;70,04;74,96;70,00
46;1999-02-16;60,75;70,98;70,22;61,16
47;1999-02-17;62,47;72,37;76,04;67,70
48;1999-02-18;52,79;64,49;66,05;56,53
49;1999-02-19;54,28;64,17;66,28;60,95
