;fecha;prate_00;prate_06;prate_12;prate_18
0;1999-01-01;;;;
1;1999-01-02;0,00;0,00;;
2;1999-01-03;0,00;0,00;0,84;0,00
3;1999-01-04;8,04;10,78;1,02;18,81
4;1999-01-05;6,74;9,18;31,56;11,04
5;1999-01-06;0,00;0,00;0,00;0,00
6;1999-01-07;0,00;0,00;0,00;0,00
7;1999-01-08;0,00;0,00;0,00;0,00
8;1999-01-09;1,51;0,95;6,54;3,35
9;1999-01-10;0,00;0,00;0,00;0,00
10;1999-01-11;0,00;0,00;0,00;0,00
11;1999-01-12;0,00;0,00;0,00;0,00
12;1999-01-13;0,00;0,00;0,00;0,00
13;1999-01-14;0,56;0,95;0,02;0,99
14;1999-01-15;0,00;0,00;0,00;0,00
15;1999-01-16;0,00;0,00;0,00;0,00
16;1999-01-17;0,00;0,00;0,00;0,00
17;1999-01-18;0,00;0,00;0,00;0,00
18;1999-01-19;0,04;0,37;0,04;0,00
19;1999-01-20;6,57;0,26;6,74;10,89
20;1999-01-21;0,41;0,02;1,10;1,84
21;1999-01-22;0,00;0,00;0,00;0,00
22;1999-01-23;0,00;0,02;0,00;0,00
23;1999-01-24;58,17;62,06;64,89;79,81
24;1999-01-25;2,81;0,06;0,11;0,11
25;1999-01-26;0,00;0,00;2,38;0,00
26;1999-01-27;0,00;0,00;0,00;0,00
27;1999-01-28;0,00;0,02;0,04;0,02
28;1999-01-29;14,64;23,57;8,06;12,14
29;1999-01-30;3,67;6,37;9,91;15,85
30;1999-01-31;1,86;2,01;5,53;3,05
31;1999-02-01;0,00;0,00;0,00;0,00
32;1999-02-02;47,89;34,34;35,77;53,70
33;1999-02-03;0,09;0,09;0,00;0,02
34;1999-02-04;0,00;0,00;0,00;0,00
35;1999-02-05;0,00;0,00;0,00;0,00
36;1999-02-06;3,72;1,06;2,64;1,08
37;1999-02-07;37,61;51,56;28,92;51,60
38;1999-02-08;0,00;0,00;0,00;0,00
39;1999-02-09;0,00;0,00;0,00;0,00
40;1999-02-10;0,00;0,00;0,00;0,00
41;1999-02-11;0,00;0,00;0,00;0,00
42;1999-02-12;0,00;0,00;0,00;0,00
43;1999-02-13;3,91;2,64;6,67;5,31
44;1999-02-14;0,00;0,00;0,02;0,02
45;1999-02-15;0,00;0,00;0,00;0,00
46;1999-02-16;0,00;0,00;0,00;0,00
47;1999-02-17;0,00;0,00;0,06;0,00
48;1999-02-18;0,00;0,00;0,00;0,00
49;1999-02-19;0,00;0,00;0,00;0,00
50;1999-02-20;0,00;0,00;0,00;0,00
51;1999-02-21;0,00;0,00;0,00;0,00
52;1999-02-22;6,24;4,17;3,41;2,72
53;1999-02-23;0,00;0,02;0,00;0,09
54;1999-02-24;0,00;0,00;0,02;0,00
55;1999-02-25;0,00;0,00;0,00;0,00
56;1999-02-26;0,00;0,00;0,00;0,00
57;1999-02-27;0,00;0,00;0,00;0,00
58;1999-02-28;0,00;0,00;0,00;0,00
59;1999-03-01;0,00;0,00;0,02;0,00
60;1999-03-02;0,00;0,02;0,56;0,00
61;1999-03-03;0,19;0,32;3,72;0,02
62;1999-03-04;0,00;0,00;4,71;0,00
63;1999-03-05;0,30;1,47;0,00;0,04
64;1999-03-06;8,47;9,70;11,82;3,87
65;1999-03-07;2,07;3,74;24,67;13,39
66;1999-03-08;0,60;0,52;1,64;2,70
67;1999-03-09;0,80;0,39;2,81;1,12
68;1999-03-10;0,00;0,00;0,02;0,00
69;1999-03-11;0,00;0,00;0,00;0,00
70;1999-03-12;0,00;0,00;0,13;0,02
71;1999-03-13;0,00;0,00;0,09;0,02
72;1999-03-14;0,15;0,00;0,97;0,86
73;1999-03-15;0,06;0,11;1,75;0,09
74;1999-03-16;0,48;6,89;5,16;1,30
75;1999-03-17;31,62;45,47;34,97;41,32
76;1999-03-18;0,45;1,81;4,34;23,39
77;1999-03-19;0,19;0,19;0,09;0,09
78;1999-03-20;0,00;0,00;0,02;0,00
79;1999-03-21;0,06;0,80;0,13;0,11
80;1999-03-22;0,00;0,00;0,15;0,11
81;1999-03-23;0,00;0,00;0,00;0,00
82;1999-03-24;0,54;1,10;4,69;3,09
83;1999-03-25;1,71;4,97;9,85;9,81
84;1999-03-26;0,06;0,50;0,91;0,00
85;1999-03-27;2,94;3,46;5,23;4,88
86;1999-03-28;26,40;25,25;23,95;28,56
87;1999-03-29;1,19;2,33;1,08;1,30
88;1999-03-30;0,00;0,00;0,00;0,00
89;1999-03-31;0,00;0,00;0,00;0,00
90;1999-04-01;0,00;0,00;0,00;0,00
91;1999-04-02;1,38;0,65;2,18;1,45
92;1999-04-03;9,72;7,69;3,22;10,28
93;1999-04-04;6,16;10,89;3,24;2,81
94;1999-04-05;1,34;0,71;1,79;1,14
95;1999-04-06;0,00;0,00;0,30;0,30
96;1999-04-07;1,02;0,28;0,26;1,21
97;1999-04-08;0,00;0,00;0,84;0,02
98;1999-04-09;0,00;0,00;0,00;0,00
99;1999-04-10;0,00;0,00;0,04;0,00
100;1999-04-11;1,75;1,30;0,00;1,84
101;1999-04-12;0,58;1,02;0,26;0,15
102;1999-04-13;0,00;0,02;0,02;0,00
103;1999-04-14;0,00;0,00;0,00;0,00
104;1999-04-15;0,97;0,99;0,15;0,30
105;1999-04-16;4,28;2,14;0,26;3,52
106;1999-04-17;0,00;0,02;0,02;0,00
107;1999-04-18;0,00;0,00;0,00;0,00
108;1999-04-19;0,00;0,00;0,00;0,00
109;1999-04-20;0,00;0,00;0,00;0,00
110;1999-04-21;0,00;0,00;0,00;0,00
111;1999-04-22;0,00;0,00;0,00;0,00
112;1999-04-23;0,00;0,00;0,00;0,00
113;1999-04-24;0,35;0,63;0,48;0,17
114;1999-04-25;6,67;17,37;0,89;0,48
115;1999-04-26;26,46;29,70;31,92;23,70
116;1999-04-27;24,69;25,03;33,54;35,86
117;1999-04-28;0,84;2,14;0,06;0,32
118;1999-04-29;0,35;0,35;0,54;0,19
119;1999-04-30;0,00;0,00;0,00;0,00
120;1999-05-01;0,00;0,06;0,09;0,00
121;1999-05-02;3,63;3,18;1,66;1,99
122;1999-05-03;12,57;14,52;5,25;5,90
123;1999-05-04;9,91;12,96;7,04;7,62
