;fecha;dswsfc_00;dswsfc_06;dswsfc_12;dswsfc_18
0;1999-01-01;29,43;;;
1;1999-01-02;20,24;16,47;9,91;17,13
2;1999-01-03;23,15;28,89;27,86;28,61
3;1999-01-04;18,60;11,91;15,96;15,38
4;1999-01-05;29,73;30,24;30,02;29,88
5;1999-01-06;30,48;30,33;30,66;30,51
6;1999-01-07;30,10;30,00;30,05;30,24
7;1999-01-08;23,96;25,50;23,95;23,97
8;1999-01-09;26,90;25,75;25,32;25,59
9;1999-01-10;30,01;29,71;29,99;29,98
10;1999-01-11;27,13;25,91;27,05;25,99
11;1999-01-12;18,59;20,16;21,10;12,36
12;1999-01-13;27,79;14,69;21,90;24,59
13;1999-01-14;29,77;29,54;29,87;29,67
14;1999-01-15;29,98;29,85;29,69;29,75
15;1999-01-16;29,72;28,78;29,13;29,56
16;1999-01-17;26,46;25,83;24,38;26,45
17;1999-01-18;17,51;14,88;15,54;16,83
18;1999-01-19;17,11;9,65;6,99;4,80
19;1999-01-20;25,95;26,45;26,26;25,12
20;1999-01-21;26,51;25,97;25,79;26,15
21;1999-01-22;25,85;25,76;21,55;24,98
22;1999-01-23;5,41;10,30;7,17;7,25
23;1999-01-24;23,35;25,53;24,76;22,12
24;1999-01-25;27,83;25,34;27,12;27,19
25;1999-01-26;28,12;27,90;27,87;28,21
26;1999-01-27;25,52;26,10;24,36;24,62
27;1999-01-28;19,09;20,67;24,72;21,58
28;1999-01-29;17,10;13,98;14,55;12,24
29;1999-01-30;27,39;23,96;23,48;27,27
30;1999-01-31;27,23;27,95;25,72;23,10
31;1999-02-01;3,56;3,43;2,92;3,18
32;1999-02-02;24,75;27,33;26,91;25,67
33;1999-02-03;16,14;26,58;21,65;16,79
34;1999-02-04;24,57;27,27;27,13;25,73
35;1999-02-05;25,91;20,94;25,34;26,24
36;1999-02-06;5,70;7,44;7,14;4,23
37;1999-02-07;23,84;25,92;25,70;26,23
38;1999-02-08;27,47;27,76;27,50;27,48
39;1999-02-09;27,29;26,32;26,93;27,00
40;1999-02-10;24,61;26,62;26,51;26,50
41;1999-02-11;26,54;26,81;26,74;26,66
42;1999-02-12;8,03;5,13;16,65;15,16
43;1999-02-13;25,55;25,52;25,66;25,30
44;1999-02-14;26,30;25,34;24,81;25,97
45;1999-02-15;25,71;24,89;24,89;25,53
46;1999-02-16;24,51;24,49;24,23;24,59
47;1999-02-17;25,69;19,20;24,17;24,74
48;1999-02-18;25,37;24,41;24,39;25,20
49;1999-02-19;25,19;24,49;24,54;25,03
50;1999-02-20;21,69;21,11;20,10;20,70
51;1999-02-21;17,64;21,97;14,98;13,18
52;1999-02-22;19,00;23,20;20,77;18,42
53;1999-02-23;24,11;22,03;23,72;23,32
54;1999-02-24;24,49;24,54;24,46;24,47
55;1999-02-25;24,07;24,20;24,04;24,26
56;1999-02-26;23,58;23,70;23,40;24,01
57;1999-02-27;24,23;23,35;23,59;23,79
58;1999-02-28;23,65;22,32;22,44;23,65
59;1999-03-01;22,64;21,59;21,68;23,05
60;1999-03-02;4,09;22,76;19,00;5,31
61;1999-03-03;18,41;9,28;10,46;11,64
62;1999-03-04;21,28;11,08;17,33;20,04
63;1999-03-05;7,37;16,43;18,44;18,44
64;1999-03-06;8,11;7,77;9,70;13,18
65;1999-03-07;20,04;14,37;17,48;19,31
66;1999-03-08;17,42;11,08;15,84;16,95
67;1999-03-09;22,33;22,31;21,25;22,26
68;1999-03-10;22,30;22,10;22,27;22,14
69;1999-03-11;21,48;18,57;18,43;20,33
70;1999-03-12;22,15;20,21;19,24;20,63
71;1999-03-13;12,39;13,61;12,63;15,83
72;1999-03-14;13,97;12,61;9,98;13,67
73;1999-03-15;19,53;19,90;17,74;18,81
74;1999-03-16;7,89;15,63;12,46;8,89
75;1999-03-17;9,31;11,51;9,71;3,14
76;1999-03-18;10,44;2,40;12,79;6,89
77;1999-03-19;13,80;15,16;8,89;8,52
78;1999-03-20;15,59;18,18;12,44;14,88
79;1999-03-21;19,77;16,67;16,77;19,44
80;1999-03-22;20,15;19,83;20,08;20,22
81;1999-03-23;19,24;19,28;18,95;18,23
82;1999-03-24;3,25;8,60;8,30;3,25
