;fecha;tmax_00;tmax_06;tmax_12;tmax_18
0;1999-01-01;302,20;;;
1;1999-01-02;302,70;302,50;302,40;307,50
2;1999-01-03;302,70;303,10;303,90;304,20
3;1999-01-04;304,10;305,10;303,90;310,30
4;1999-01-05;300,20;299,30;299,70;304,00
5;1999-01-06;299,90;300,20;300,00;302,30
6;1999-01-07;300,80;300,60;301,10;304,50
7;1999-01-08;302,90;303,00;303,10;305,30
8;1999-01-09;303,30;302,40;301,20;303,80
9;1999-01-10;294,80;295,80;295,60;299,60
10;1999-01-11;297,70;298,60;298,50;298,90
11;1999-01-12;299,00;299,60;299,20;303,50
12;1999-01-13;301,10;299,00;301,40;304,00
13;1999-01-14;303,50;302,60;301,80;303,20
14;1999-01-15;299,10;299,50;300,40;301,90
15;1999-01-16;302,80;303,20;303,20;305,90
16;1999-01-17;304,70;304,30;304,10;309,10
17;1999-01-18;303,90;304,70;304,00;308,90
18;1999-01-19;302,20;300,50;300,80;304,60
19;1999-01-20;301,80;302,00;301,10;300,80
20;1999-01-21;302,10;302,10;302,20;305,30
21;1999-01-22;302,90;303,00;302,80;308,20
22;1999-01-23;302,00;302,60;302,90;307,90
23;1999-01-24;303,10;303,00;304,00;303,80
24;1999-01-25;303,20;305,20;304,00;307,60
25;1999-01-26;302,80;302,50;301,70;306,40
26;1999-01-27;301,30;301,60;302,20;307,00
27;1999-01-28;302,60;302,30;301,90;307,20
28;1999-01-29;295,70;296,00;296,10;296,30
29;1999-01-30;300,70;301,40;301,10;301,70
30;1999-01-31;302,50;302,10;302,60;306,70
31;1999-02-01;296,30;296,40;295,10;298,70
32;1999-02-02;297,40;297,80;296,80;296,70
33;1999-02-03;298,90;300,10;297,60;299,10
34;1999-02-04;299,60;300,40;300,30;301,10
35;1999-02-05;301,40;301,20;301,50;304,00
36;1999-02-06;302,40;301,70;302,20;306,10
37;1999-02-07;297,40;297,50;297,30;297,70
38;1999-02-08;295,80;295,60;296,30;298,00
39;1999-02-09;299,30;299,20;298,90;300,70
40;1999-02-10;300,50;300,90;301,10;303,30
41;1999-02-11;301,90;301,90;302,10;307,30
42;1999-02-12;295,70;295,00;297,80;297,50
43;1999-02-13;301,20;302,00;300,50;300,20
44;1999-02-14;300,20;300,60;300,00;304,40
45;1999-02-15;303,00;302,50;302,60;302,80
46;1999-02-16;303,80;303,90;303,20;307,40
47;1999-02-17;305,30;304,50;304,30;307,80
48;1999-02-18;304,80;305,10;304,70;307,90
49;1999-02-19;305,50;305,50;305,70;310,40
50;1999-02-20;305,40;305,00;305,30;309,90
51;1999-02-21;304,70;303,50;304,70;307,20
52;1999-02-22;302,60;302,70;303,40;303,60
53;1999-02-23;303,30;303,50;304,90;305,20
