;fecha;tmin_00;tmin_06;tmin_12;tmin_18
0;1999-01-01;289,30;;;
1;1999-01-02;292,00;291,90;294,20;290,80
2;1999-01-03;291,00;290,20;291,40;292,20
3;1999-01-04;294,20;291,50;291,20;293,30
4;1999-01-05;288,50;288,90;288,40;288,90
5;1999-01-06;286,70;287,00;286,10;286,20
6;1999-01-07;289,20;289,20;289,80;289,00
7;1999-01-08;293,60;293,50;293,40;293,70
8;1999-01-09;287,60;286,80;288,00;287,30
9;1999-01-10;283,60;283,90;284,10;283,90
10;1999-01-11;286,10;286,50;286,30;288,10
11;1999-01-12;292,60;293,60;291,20;291,60
12;1999-01-13;291,50;294,30;293,60;293,30
13;1999-01-14;289,00;287,90;287,10;286,70
14;1999-01-15;284,10;284,10;285,10;285,80
15;1999-01-16;288,20;288,00;287,90;288,20
16;1999-01-17;290,70;289,80;290,60;290,90
17;1999-01-18;289,50;291,30;292,80;294,10
18;1999-01-19;293,20;292,70;291,20;290,30
19;1999-01-20;291,20;291,10;290,80;291,30
20;1999-01-21;291,70;290,90;290,10;289,80
21;1999-01-22;291,30;291,40;291,90;291,60
22;1999-01-23;293,60;294,50;295,80;296,00
23;1999-01-24;294,80;294,50;294,20;294,30
24;1999-01-25;293,30;293,90;293,50;294,10
25;1999-01-26;291,10;290,40;290,10;289,80
26;1999-01-27;291,30;291,20;291,20;292,00
27;1999-01-28;293,10;293,20;292,40;291,90
28;1999-01-29;291,50;291,50;291,90;291,80
29;1999-01-30;289,70;289,60;289,80;289,70
30;1999-01-31;288,00;288,60;286,30;285,50
31;1999-02-01;287,50;287,80;287,00;286,80
32;1999-02-02;281,20;279,40;282,00;282,40
33;1999-02-03;289,40;288,90;288,50;288,30
34;1999-02-04;286,60;284,90;285,30;285,50
35;1999-02-05;289,10;289,60;289,20;289,70
36;1999-02-06;295,10;294,60;295,60;294,70
37;1999-02-07;288,00;287,70;288,10;288,10
38;1999-02-08;283,90;283,90;284,40;285,20
