;fecha;hr_00;hr_06;hr_12;hr_18
0;1999-01-01;30,75;;;
1;1999-01-02;32,14;33,63;33,99;32,63
2;1999-01-03;31,98;31,88;32,81;30,74
3;1999-01-04;30,66;38,83;37,88;35,99
4;1999-01-05;41,11;78,12;62,10;43,53
5;1999-01-06;31,34;40,46;38,37;32,35
6;1999-01-07;37,70;41,61;41,54;39,07
7;1999-01-08;41,75;44,68;45,34;44,62
8;1999-01-09;49,11;43,65;43,86;43,99
9;1999-01-10;56,51;61,18;57,22;58,58
10;1999-01-11;60,30;56,54;61,05;57,20
11;1999-01-12;70,28;53,61;70,28;70,54
12;1999-01-13;42,36;56,53;52,46;47,08
13;1999-01-14;32,78;47,74;40,44;32,74
14;1999-01-15;34,03;35,68;36,91;33,20
15;1999-01-16;33,25;39,79;40,33;35,59
16;1999-01-17;29,38;33,92;34,07;31,44
17;1999-01-18;70,00;64,93;69,22;67,49
18;1999-01-19;79,36;84,13;78,29;83,58
19;1999-01-20;56,27;54,60;55,68;58,20
20;1999-01-21;45,78;57,83;54,79;49,56
21;1999-01-22;55,38;74,44;75,82;58,33
22;1999-01-23;46,31;40,66;42,51;43,53
23;1999-01-24;37,87;39,82;38,72;35,32
24;1999-01-25;49,37;78,98;73,27;56,96
25;1999-01-26;36,60;51,17;40,74;36,99
26;1999-01-27;28,80;61,29;53,89;30,52
27;1999-01-28;95,50;88,68;95,35;96,51
28;1999-01-29;49,03;61,83;56,94;54,77
29;1999-01-30;42,45;44,17;48,90;44,18
30;1999-01-31;35,92;41,10;39,36;36,58
31;1999-02-01;54,34;62,85;58,66;59,28
32;1999-02-02;60,43;70,99;72,32;73,86
33;1999-02-03;44,37;49,50;47,84;44,43
34;1999-02-04;47,57;85,30;67,32;55,41
35;1999-02-05;64,70;54,29;58,99;62,37
36;1999-02-06;52,82;52,76;56,18;52,92
37;1999-02-07;57,28;72,64;66,65;64,89
38;1999-02-08;84,32;62,03;69,96;76,44
39;1999-02-09;57,09;87,76;70,55;64,90
40;1999-02-10;41,33;51,13;50,27;45,38
41;1999-02-11;35,24;35,84;35,70;34,17
42;1999-02-12;34,39;36,59;39,49;35,61
43;1999-02-13;76,24;85,87;83,26;79,48
44;1999-02-14;68,12;74,40;71,64;70,59
45;1999-02-15;56,79;55,12;55,61;55,48
46;1999-02-16;92,80;90,68;91,39;93,24
47;1999-02-17;63,96;68,26;66,55;65,56
48;1999-02-18;46,26;49,76;52,85;50,11
49;1999-02-19;45,18;47,47;46,48;46,00
50;1999-02-20;42,03;45,54;44,69;42,16
51;1999-02-21;39,58;46,33;44,93;42,06
52;1999-02-22;46,01;51,29;50,77;48,15
53;1999-02-23;45,06;54,15;52,05;45,51
54;1999-02-24;42,47;41,28;41,04;40,10
55;1999-02-25;40,75;36,30;36,97;38,41
56;1999-02-26;43,10;42,42;45,50;44,65
57;1999-02-27;40,63;44,60;44,72;42,08
58;1999-02-28;40,29;40,98;43,50;40,89
59;1999-03-01;34,44;36,78;35,18;36,49
60;1999-03-02;40,29;42,07;41,32;37,56
61;1999-03-03;34,23;40,13;41,34;35,30
62;1999-03-04;40,41;41,52;44,16;41,59
63;1999-03-05;44,57;37,51;40,58;41,54
64;1999-03-06;42,94;39,72;41,14;41,65
65;1999-03-07;37,09;40,37;39,06;40,12
66;1999-03-08;44,97;48,08;46,65;46,89
67;1999-03-09;74,25;65,84;89,46;85,22
68;1999-03-10;45,53;49,32;49,70;46,26
69;1999-03-11;30,85;37,21;37,00;32,40
70;1999-03-12;48,51;49,92;49,95;46,78
71;1999-03-13;43,48;44,47;46,62;43,60
72;1999-03-14;58,63;46,94;59,27;59,25
73;1999-03-15;60,00;51,34;66,93;55,32
74;1999-03-16;76,60;64,99;76,26;68,34
75;1999-03-17;72,40;67,62;70,85;64,78
76;1999-03-18;73,57;80,04;70,44;70,42
77;1999-03-19;66,61;79,42;81,15;67,89
78;1999-03-20;99,46;97,09;95,48;98,58
79;1999-03-21;79,93;93,52;81,33;81,93
80;1999-03-22;74,47;83,43;83,59;77,05
81;1999-03-23;71,40;70,57;72,37;72,10
82;1999-03-24;67,87;69,67;68,54;70,19
83;1999-03-25;56,98;85,51;81,67;73,23
84;1999-03-26;75,57;93,36;81,66;77,53
85;1999-03-27;89,13;73,40;77,27;78,08
86;1999-03-28;70,69;75,88;77,40;72,81
87;1999-03-29;91,30;73,41;87,13;93,92
88;1999-03-30;48,50;56,79;62,36;54,46
89;1999-03-31;56,23;57,19;66,46;61,47
90;1999-04-01;92,44;98,16;99,06;98,02
91;1999-04-02;99,34;99,38;99,90;99,75
92;1999-04-03;99,51;98,99;99,27;99,23
93;1999-04-04;94,30;95,83;95,07;95,21
94;1999-04-05;98,51;93,04;97,48;97,05
95;1999-04-06;89,07;92,76;91,35;90,95
96;1999-04-07;;97,41;99,46;99,33
97;1999-04-08;93,58;95,94;94,82;93,58
98;1999-04-09;91,84;90,96;92,71;92,38
99;1999-04-10;99,84;99,04;99,94;99,82
100;1999-04-11;98,31;95,16;97,73;98,53
101;1999-04-12;88,55;91,82;91,10;89,31
102;1999-04-13;89,61;88,61;89,46;88,76
103;1999-04-14;91,14;89,20;90,86;89,64
104;1999-04-15;94,00;95,41;95,56;96,68
105;1999-04-16;58,08;69,20;61,47;59,13
106;1999-04-17;70,88;77,27;76,59;72,64
107;1999-04-18;74,97;76,15;74,57;73,17
108;1999-04-19;76,16;79,50;78,23;75,50
109;1999-04-20;82,06;82,65;83,00;81,91
110;1999-04-21;88,13;88,46;88,78;88,31
111;1999-04-22;92,13;90,94;90,90;90,54
112;1999-04-23;89,94;91,57;90,55;89,15
