;fecha;prate_00;prate_06;prate_12;prate_18
0;1999-01-01;;;;
1;1999-01-02;0,00;0,00;;
2;1999-01-03;0,00;0,00;0,00;0,00
3;1999-01-04;0,00;0,00;0,00;0,00
4;1999-01-05;2,98;3,89;2,48;4,56
5;1999-01-06;0,00;0,00;4,13;1,02
6;1999-01-07;0,00;0,00;0,00;0,00
7;1999-01-08;0,00;0,00;0,00;0,00
8;1999-01-09;0,00;0,00;0,00;0,00
9;1999-01-10;1,81;0,00;0,02;0,00
10;1999-01-11;0,02;0,04;0,00;0,00
11;1999-01-12;4,92;0,09;4,41;2,27
12;1999-01-13;9,27;1,17;2,92;7,86
13;1999-01-14;0,00;0,02;0,00;0,00
14;1999-01-15;0,00;0,00;0,00;0,00
15;1999-01-16;0,00;0,00;0,00;0,00
16;1999-01-17;0,00;0,00;0,00;0,00
17;1999-01-18;0,00;0,00;0,00;0,00
18;1999-01-19;24,13;17,91;11,69;16,74
19;1999-01-20;4,02;3,22;0,19;4,88
20;1999-01-21;0,00;0,00;0,00;0,00
21;1999-01-22;0,11;0,09;0,11;0,09
22;1999-01-23;0,69;0,00;8,14;0,65
23;1999-01-24;0,00;0,00;0,00;0,00
24;1999-01-25;0,52;0,54;0,13;0,54
25;1999-01-26;1,64;0,78;3,43;8,29
26;1999-01-27;0,00;0,00;0,43;0,00
27;1999-01-28;0,11;0,24;19,81;0,13
28;1999-01-29;34,60;19,20;28,99;54,60
29;1999-01-30;0,00;0,00;0,00;0,00
30;1999-01-31;0,00;0,00;0,00;0,00
31;1999-02-01;0,00;0,00;0,00;0,00
32;1999-02-02;17,13;32,64;13,05;18,47
33;1999-02-03;3,76;3,76;11,88;8,47
34;1999-02-04;4,28;0,24;0,35;0,00
35;1999-02-05;0,00;0,00;0,43;0,41
36;1999-02-06;0,41;0,86;0,52;2,07
37;1999-02-07;0,00;0,15;0,06;0,02
38;1999-02-08;0,17;0,26;3,13;0,91
39;1999-02-09;2,57;3,15;2,42;1,92
40;1999-02-10;0,00;0,00;0,24;0,11
41;1999-02-11;0,00;0,00;0,00;0,00
42;1999-02-12;0,00;0,00;0,00;0,00
43;1999-02-13;0,00;0,17;0,04;0,00
44;1999-02-14;48,43;55,25;90,76;65,06
45;1999-02-15;0,00;0,00;0,00;0,09
46;1999-02-16;4,80;3,95;2,01;2,38
47;1999-02-17;55,92;37,50;19,16;36,98
48;1999-02-18;0,00;0,00;0,00;0,00
49;1999-02-19;0,00;0,00;0,00;0,00
50;1999-02-20;0,00;0,00;0,00;0,00
51;1999-02-21;0,00;0,00;0,00;0,00
52;1999-02-22;0,00;0,00;0,00;0,00
53;1999-02-23;0,00;0,00;0,00;0,00
54;1999-02-24;0,00;0,00;0,00;0,00
55;1999-02-25;0,00;0,00;0,00;0,00
56;1999-02-26;0,00;0,00;0,00;0,00
57;1999-02-27;0,00;0,00;0,00;0,00
58;1999-02-28;0,00;0,00;0,00;0,00
59;1999-03-01;0,00;0,00;0,00;0,00
60;1999-03-02;0,00;0,00;0,00;0,00
61;1999-03-03;0,00;0,00;0,00;0,00
62;1999-03-04;0,00;0,00;0,00;0,00
63;1999-03-05;0,00;0,00;0,13;0,00
64;1999-03-06;0,41;0,00;0,00;0,00
65;1999-03-07;0,00;0,00;0,00;0,00
66;1999-03-08;0,00;0,00;0,00;0,00
67;1999-03-09;0,26;1,06;1,62;0,32
68;1999-03-10;5,42;4,19;8,16;26,31
69;1999-03-11;0,00;0,00;0,00;0,00
70;1999-03-12;0,00;0,00;0,00;0,00
71;1999-03-13;0,00;0,00;0,00;0,00
72;1999-03-14;0,00;0,00;0,00;0,00
73;1999-03-15;1,32;1,75;3,50;1,06
74;1999-03-16;0,58;0,04;1,25;0,73
75;1999-03-17;6,39;6,29;10,56;1,06
76;1999-03-18;3,93;8,42;12,14;4,86
77;1999-03-19;1,99;1,62;2,85;2,29
78;1999-03-20;3,50;10,32;11,69;3,56
79;1999-03-21;57,05;23,63;31,26;33,50
80;1999-03-22;0,00;0,02;0,91;0,52
81;1999-03-23;0,04;0,82;3,37;1,25
82;1999-03-24;0,00;0,00;0,00;0,00
83;1999-03-25;0,41;0,67;0,58;0,19
84;1999-03-26;2,31;1,19;10,07;13,15
85;1999-03-27;10,50;7,80;2,92;2,76
86;1999-03-28;17,47;11,12;1,02;10,24
87;1999-03-29;6,96;5,55;9,46;5,36
88;1999-03-30;6,87;0,76;15,75;22,01
89;1999-03-31;0,00;0,00;0,43;0,00
90;1999-04-01;9,91;7,15;17,37;12,74
91;1999-04-02;47,84;47,95;21,84;30,69
92;1999-04-03;4,84;6,65;7,11;6,89
93;1999-04-04;6,37;5,79;7,06;5,55
94;1999-04-05;0,19;0,13;0,30;0,32
95;1999-04-06;4,32;5,85;9,94;5,79
96;1999-04-07;0,50;1,10;0,84;0,69
97;1999-04-08;15,90;13,02;15,88;15,47
98;1999-04-09;1,43;0,89;1,84;1,38
99;1999-04-10;2,40;1,12;1,71;1,90
100;1999-04-11;14,47;21,60;12,94;15,36
101;1999-04-12;2,74;2,18;2,10;2,38
102;1999-04-13;0,02;0,06;0,24;0,04
103;1999-04-14;0,09;0,04;0,13;0,09
104;1999-04-15;0,15;0,04;0,24;0,06
105;1999-04-16;2,48;4,73;4,45;3,59
106;1999-04-17;0,00;0,00;0,00;0,00
107;1999-04-18;0,00;0,00;0,00;0,00
108;1999-04-19;0,00;0,00;0,00;0,00
109;1999-04-20;0,00;0,00;0,00;0,00
110;1999-04-21;0,00;0,00;0,00;0,00
111;1999-04-22;0,02;0,06;0,02;0,02
112;1999-04-23;0,11;0,06;0,17;0,15
113;1999-04-24;0,95;0,00;0,06;0,11
114;1999-04-25;0,00;0,00;0,00;0,00
115;1999-04-26;0,00;0,00;0,00;0,00
116;1999-04-27;0,30;0,26;0,37;0,24
117;1999-04-28;1,53;0,52;1,66;2,64
118;1999-04-29;0,06;0,09;5,64;0,06
119;1999-04-30;0,28;0,00;0,00;0,09
120;1999-05-01;0,00;0,00;0,00;0,00
121;1999-05-02;0,00;0,00;0,02;0,00
122;1999-05-03;0,00;0,00;0,00;0,00
123;1999-05-04;0,52;0,09;0,04;0,45
