;fecha;dswsfc_00;dswsfc_06;dswsfc_12;dswsfc_18
0;1999-01-01;28,41;;;
1;1999-01-02;29,47;29,98;29,78;29,81
2;1999-01-03;27,85;28,67;28,76;28,94
3;1999-01-04;25,94;25,90;26,01;27,25
4;1999-01-05;18,28;16,03;20,46;19,70
5;1999-01-06;27,65;27,23;28,04;28,17
6;1999-01-07;29,29;29,09;29,21;29,49
7;1999-01-08;29,32;27,52;28,90;29,02
8;1999-01-09;19,93;14,70;15,76;21,95
9;1999-01-10;16,07;20,74;23,67;19,91
10;1999-01-11;25,11;20,84;22,83;25,37
11;1999-01-12;21,05;20,99;20,63;18,09
12;1999-01-13;26,52;23,41;21,05;27,34
13;1999-01-14;27,51;23,10;20,98;26,23
14;1999-01-15;29,29;29,10;28,88;29,08
15;1999-01-16;29,45;28,56;28,82;29,21
16;1999-01-17;29,38;28,77;28,91;28,99
17;1999-01-18;11,44;10,97;11,64;12,44
18;1999-01-19;12,26;13,69;12,36;10,80
19;1999-01-20;28,01;28,15;28,19;28,18
20;1999-01-21;21,36;16,26;20,18;19,88
21;1999-01-22;10,77;7,78;10,55;14,78
22;1999-01-23;19,40;16,21;20,85;21,06
23;1999-01-24;18,43;21,52;20,22;20,35
24;1999-01-25;18,17;7,28;12,93;16,59
25;1999-01-26;16,11;18,45;15,34;19,00
26;1999-01-27;25,34;7,87;10,12;22,99
27;1999-01-28;4,73;4,35;5,04;3,73
28;1999-01-29;27,17;27,07;27,17;27,76
29;1999-01-30;27,65;27,49;27,64;27,99
30;1999-01-31;25,71;23,05;25,15;25,84
31;1999-02-01;21,05;19,25;20,78;21,24
32;1999-02-02;23,84;23,33;20,61;22,90
33;1999-02-03;23,60;23,84;21,61;22,27
34;1999-02-04;17,51;13,13;15,20;17,15
35;1999-02-05;19,87;19,71;18,39;18,47
36;1999-02-06;20,74;18,51;21,12;20,61
37;1999-02-07;7,79;7,27;7,41;7,24
38;1999-02-08;6,35;8,63;7,12;8,62
39;1999-02-09;24,85;7,69;15,24;14,70
40;1999-02-10;27,22;25,61;26,53;27,02
41;1999-02-11;25,79;25,49;26,23;26,34
42;1999-02-12;25,68;23,90;21,97;26,38
43;1999-02-13;4,11;3,58;3,73;5,51
44;1999-02-14;26,00;22,61;25,50;23,68
45;1999-02-15;18,73;14,97;18,93;22,64
46;1999-02-16;4,03;10,15;5,87;4,37
47;1999-02-17;25,53;24,30;24,69;25,16
48;1999-02-18;25,00;25,76;25,51;25,02
49;1999-02-19;25,74;26,04;25,94;25,93
50;1999-02-20;26,00;25,85;24,82;25,91
51;1999-02-21;23,62;23,79;24,09;23,72
52;1999-02-22;23,83;19,00;19,85;24,08
53;1999-02-23;16,31;13,89;13,59;18,04
54;1999-02-24;19,86;14,45;13,61;12,32
55;1999-02-25;24,86;21,88;23,07;24,41
56;1999-02-26;25,39;24,81;25,03;25,10
57;1999-02-27;24,90;24,85;23,61;24,11
58;1999-02-28;24,77;24,32;22,34;23,80
59;1999-03-01;24,03;21,99;23,68;24,60
60;1999-03-02;16,95;14,97;16,36;19,71
61;1999-03-03;21,76;17,82;19,24;22,39
62;1999-03-04;17,61;18,36;17,19;17,67
63;1999-03-05;13,66;13,73;14,09;10,85
64;1999-03-06;20,62;23,06;22,36;22,58
65;1999-03-07;20,83;20,38;15,05;16,70
66;1999-03-08;14,01;13,17;12,49;14,41
67;1999-03-09;15,05;18,41;6,70;11,80
68;1999-03-10;21,94;17,69;21,03;20,21
69;1999-03-11;22,45;21,34;22,13;22,47
70;1999-03-12;23,50;23,17;23,68;23,65
71;1999-03-13;22,50;23,58;21,53;22,36
72;1999-03-14;11,39;17,46;14,81;11,48
73;1999-03-15;18,05;16,83;17,68;16,35
74;1999-03-16;17,74;15,47;12,84;13,57
75;1999-03-17;13,44;13,99;12,23;14,40
76;1999-03-18;13,29;13,59;9,26;16,55
77;1999-03-19;13,58;11,99;14,42;15,89
78;1999-03-20;3,12;10,19;8,15;4,22
79;1999-03-21;10,95;12,59;13,91;13,74
80;1999-03-22;18,69;17,71;18,96;18,32
81;1999-03-23;21,11;20,62;20,84;21,25
82;1999-03-24;21,27;20,96;21,05;20,52
83;1999-03-25;19,26;15,14;15,26;16,96
84;1999-03-26;9,38;7,19;7,99;7,30
85;1999-03-27;9,60;12,23;13,97;14,76
86;1999-03-28;17,46;15,34;15,76;17,25
87;1999-03-29;3,22;9,87;4,65;1,60
88;1999-03-30;8,58;8,53;5,28;3,96
89;1999-03-31;5,84;4,92;4,34;3,27
90;1999-04-01;2,29;2,50;2,79;3,66
91;1999-04-02;2,60;2,77;2,19;2,21
92;1999-04-03;2,98;1,77;1,93;2,57
93;1999-04-04;10,54;8,46;8,51;7,82
94;1999-04-05;1,85;4,88;2,08;2,94
95;1999-04-06;4,53;5,20;6,79;5,93
96;1999-04-07;1,77;3,30;1,94;2,06
97;1999-04-08;4,32;3,73;3,42;4,15
98;1999-04-09;3,79;3,55;3,83;3,84
99;1999-04-10;1,96;2,01;1,46;2,32
100;1999-04-11;3,55;6,26;3,80;2,88
101;1999-04-12;14,37;9,04;11,82;12,46
102;1999-04-13;15,29;15,91;15,29;14,61
103;1999-04-14;15,20;17,61;14,19;16,19
104;1999-04-15;6,52;4,79;7,56;5,51
105;1999-04-16;18,83;15,75;15,35;16,99
106;1999-04-17;18,88;18,76;18,63;18,75
107;1999-04-18;18,83;18,67;18,66;18,59
108;1999-04-19;18,35;17,61;18,09;18,12
109;1999-04-20;17,45;16,65;17,47;17,64
110;1999-04-21;16,83;16,85;16,67;16,66
111;1999-04-22;10,52;6,03;8,15;8,25
112;1999-04-23;14,01;9,64;8,33;12,91
113;1999-04-24;14,04;13,74;14,20;14,49
114;1999-04-25;15,39;15,50;15,60;15,96
115;1999-04-26;15,61;14,59;15,16;15,90
116;1999-04-27;3,17;2,25;2,36;1,49
117;1999-04-28;8,33;2,18;2,86;5,57
118;1999-04-29;14,25;3,61;7,85;7,38
119;1999-04-30;15,51;9,06;12,85;13,28
120;1999-05-01;14,16;13,01;12,72;13,11
121;1999-05-02;15,62;14,68;14,96;14,20
122;1999-05-03;14,64;14,96;14,63;14,02
123;1999-05-04;4,32;2,78;4,01;3,12
124;1999-05-05;2,40;1,63;1,35;2,39
125;1999-05-06;15,05;14,74;14,04;15,07
126;1999-05-07;15,57;15,56;15,42;15,10
127;1999-05-08;15,02;14,96;14,85;14,87
128;1999-05-09;12,87;11,52;10,98;13,08
129;1999-05-10;12,72;9,35;10,54;13,12
130;1999-05-11;12,70;5,98;7,99;8,82
131;1999-05-12;13,91;13,78;14,32;14,20
132;1999-05-13;15,13;13,62;13,23;14,78
133;1999-05-14;7,31;10,22;8,21;7,67
134;1999-05-15;7,79;5,13;5,16;4,50
135;1999-05-16;7,84;5,94;5,23;5,22
136;1999-05-17;2,46;7,31;4,34;1,90
137;1999-05-18;3,73;6,49;8,26;3,63
138;1999-05-19;12,24;8,35;8,06;8,98
139;1999-05-20;13,81;14,66;14,38;14,39
140;1999-05-21;13,18;13,19;12,90;13,23
141;1999-05-22;12,70;11,93;10,99;10,17
142;1999-05-23;13,51;11,98;13,11;
143;1999-05-24;13,09;12,20;12,87;12,27
144;1999-05-25;8,19;10,06;6,62;5,10
145;1999-05-26;3,88;10,98;6,66;5,74
146;1999-05-27;9,28;10,38;12,87;7,97
147;1999-05-28;0,60;0,68;0,56;0,57
148;1999-05-29;9,48;5,85;9,11;8,21
149;1999-05-30;10,15;11,14;10,45;9,78
150;1999-05-31;13,61;13,41;13,57;13,53
151;1999-06-01;10,56;10,39;9,31;11,90
152;1999-06-02;4,70;8,26;7,11;6,51
153;1999-06-03;4,11;5,26;6,88;5,04
154;1999-06-04;12,07;7,65;11,66;11,26
155;1999-06-05;9,86;11,38;10,10;11,02
156;1999-06-06;13,01;13,22;12,77;12,35
157;1999-06-07;12,68;12,11;10,81;12,25
158;1999-06-08;3,68;2,05;2,53;3,46
159;1999-06-09;7,56;5,28;6,74;7,86
160;1999-06-10;12,79;12,92;12,54;13,05
161;1999-06-11;13,08;13,20;12,96;12,96
162;1999-06-12;4,04;3,70;3,33;3,25
163;1999-06-13;9,01;11,95;11,83;10,67
164;1999-06-14;4,68;6,04;2,33;3,08
165;1999-06-15;2,51;4,39;1,96;2,56
166;1999-06-16;1,04;1,83;1,33;1,05
167;1999-06-17;4,68;2,50;1,59;4,52
168;1999-06-18;5,29;3,86;2,68;5,04
169;1999-06-19;11,61;11,96;11,27;12,09
170;1999-06-20;9,94;11,73;8,70;9,55
171;1999-06-21;10,11;10,18;9,13;9,73
172;1999-06-22;0,87;1,61;1,37;1,00
173;1999-06-23;0,76;2,75;3,08;0,96
174;1999-06-24;3,35;3,30;5,40;3,06
175;1999-06-25;5,43;5,84;7,88;4,06
176;1999-06-26;2,50;1,98;2,31;1,64
177;1999-06-27;1,28;1,59;1,22;0,83
178;1999-06-28;1,69;2,33;1,34;1,84
179;1999-06-29;3,33;6,04;4,64;6,00
180;1999-06-30;8,73;11,12;9,51;8,96
181;1999-07-01;1,90;4,10;3,23;2,63
182;1999-07-02;2,14;3,96;3,64;2,83
183;1999-07-03;1,74;1,16;1,14;1,83
184;1999-07-04;11,55;12,00;11,13;11,31
185;1999-07-05;12,90;12,72;12,15;12,78
186;1999-07-06;12,08;10,46;11,76;12,44
187;1999-07-07;11,38;13,18;12,76;12,03
188;1999-07-08;4,98;4,87;5,47;
189;1999-07-09;8,81;6,98;8,04;7,75
190;1999-07-10;3,71;2,68;4,49;4,14
191;1999-07-11;;9,02;7,52;7,04
192;1999-07-12;4,07;2,69;1,51;1,36
193;1999-07-13;6,44;5,49;7,40;7,06
194;1999-07-14;1,26;1,74;2,05;1,37
195;1999-07-15;0,69;1,45;1,63;1,03
196;1999-07-16;2,51;2,18;2,98;2,38
197;1999-07-17;10,45;9,86;10,38;10,37
198;1999-07-18;3,72;9,12;6,78;3,34
199;1999-07-19;1,19;0,97;1,18;1,23
200;1999-07-20;6,57;4,16;9,23;9,36
201;1999-07-21;4,27;6,99;7,31;5,26
202;1999-07-22;6,48;10,88;9,29;5,94
203;1999-07-23;11,74;12,37;12,18;
204;1999-07-24;13,38;13,92;13,70;13,57
205;1999-07-25;4,45;3,64;3,91;4,17
206;1999-07-26;9,02;8,60;8,03;9,23
207;1999-07-27;7,47;3,85;5,69;5,01
208;1999-07-28;9,44;11,82;9,65;8,79
209;1999-07-29;12,64;12,98;12,99;13,03
210;1999-07-30;14,45;14,00;12,86;13,11
211;1999-07-31;15,55;15,57;15,43;15,53
212;1999-08-01;15,33;15,41;15,15;15,48
213;1999-08-02;14,31;13,40;14,00;12,96
214;1999-08-03;13,90;15,14;14,84;14,20
215;1999-08-04;10,69;14,81;11,42;11,31
216;1999-08-05;3,34;10,12;8,90;4,80
217;1999-08-06;9,75;9,08;11,72;12,16
218;1999-08-07;14,70;14,08;15,10;14,97
219;1999-08-08;15,94;16,12;16,22;16,32
220;1999-08-09;16,18;16,05;16,17;16,23
221;1999-08-10;15,99;15,97;15,96;15,97
222;1999-08-11;15,57;15,05;14,98;15,44
223;1999-08-12;2,63;3,26;2,91;2,05
224;1999-08-13;2,43;2,87;3,41;2,79
225;1999-08-14;16,28;16,72;16,47;15,81
226;1999-08-15;17,41;17,52;17,34;17,48
227;1999-08-16;17,46;17,59;17,49;17,57
228;1999-08-17;16,91;16,20;16,01;16,30
229;1999-08-18;17,01;14,55;14,44;15,99
230;1999-08-19;17,02;16,82;16,76;17,09
231;1999-08-20;17,31;17,13;17,18;17,26
232;1999-08-21;16,60;16,38;17,04;17,15
233;1999-08-22;5,88;2,37;2,77;3,04
234;1999-08-23;2,73;2,98;2,90;3,12
235;1999-08-24;6,08;3,39;4,11;6,35
236;1999-08-25;4,81;1,67;2,11;3,50
237;1999-08-26;14,86;11,04;13,51;13,60
238;1999-08-27;16,92;7,06;9,95;12,28
239;1999-08-28;18,41;17,63;18,17;18,06
240;1999-08-29;18,01;16,47;18,01;18,00
241;1999-08-30;17,97;16,37;17,23;17,61
242;1999-08-31;17,11;15,48;16,33;16,71
243;1999-09-01;15,45;11,76;13,20;12,83
244;1999-09-02;6,06;1,96;2,68;6,71
245;1999-09-03;12,19;13,26;13,82;12,42
246;1999-09-04;5,03;5,19;4,79;5,77
247;1999-09-05;12,59;9,42;9,32;11,43
248;1999-09-06;15,14;16,11;17,68;17,88
249;1999-09-07;15,45;9,19;7,11;11,09
250;1999-09-08;14,52;10,95;10,47;10,43
251;1999-09-09;19,58;19,33;18,58;19,46
252;1999-09-10;16,86;17,80;16,99;16,94
253;1999-09-11;18,41;18,48;18,89;19,07
254;1999-09-12;17,21;19,01;18,44;17,70
255;1999-09-13;6,61;1,51;1,84;3,82
