;fecha;tmax_00;tmax_06;tmax_12;tmax_18
0;1999-01-01;309,00;;;
1;1999-01-02;309,80;310,50;310,70;310,90
2;1999-01-03;312,50;313,30;311,90;311,50
3;1999-01-04;316,20;315,20;316,00;317,00
4;1999-01-05;315,90;315,50;312,80;313,60
5;1999-01-06;306,20;307,00;307,20;307,60
6;1999-01-07;306,40;306,50;306,70;306,60
7;1999-01-08;311,00;311,20;311,50;311,60
8;1999-01-09;312,50;312,50;311,50;311,30
9;1999-01-10;307,30;307,50;307,80;307,10
10;1999-01-11;306,90;305,60;306,80;306,90
11;1999-01-12;308,30;308,00;307,90;307,40
12;1999-01-13;308,20;308,00;307,80;308,40
13;1999-01-14;309,30;309,80;308,40;308,20
14;1999-01-15;308,10;307,80;308,30;307,70
15;1999-01-16;310,40;310,40;309,80;310,20
16;1999-01-17;311,20;312,20;312,50;312,10
17;1999-01-18;313,40;313,60;313,10;311,90
18;1999-01-19;301,40;305,10;303,40;299,00
19;1999-01-20;312,10;310,20;310,10;310,10
20;1999-01-21;311,70;311,80;311,80;311,10
21;1999-01-22;311,20;311,40;309,20;312,50
22;1999-01-23;307,50;311,30;311,90;310,80
23;1999-01-24;314,10;314,40;314,00;313,70
24;1999-01-25;311,90;312,00;310,70;311,60
25;1999-01-26;308,20;313,20;307,80;311,40
26;1999-01-27;308,40;308,90;311,90;309,90
27;1999-01-28;310,90;311,50;311,80;311,60
28;1999-01-29;306,00;305,80;305,40;306,10
29;1999-01-30;309,50;309,40;309,00;309,10
30;1999-01-31;312,40;310,30;314,70;316,70
31;1999-02-01;313,40;313,90;315,00;311,40
32;1999-02-02;307,50;307,90;308,10;308,00
33;1999-02-03;310,10;310,50;311,80;311,50
34;1999-02-04;311,40;310,80;312,60;314,60
35;1999-02-05;310,80;313,10;311,30;312,80
36;1999-02-06;312,30;311,80;311,40;311,60
37;1999-02-07;311,70;312,40;312,20;312,40
38;1999-02-08;303,60;306,60;303,70;304,50
39;1999-02-09;299,20;297,60;303,40;302,90
40;1999-02-10;308,10;308,40;310,80;310,60
41;1999-02-11;309,60;309,40;309,80;310,00
42;1999-02-12;310,20;309,90;309,50;310,70
43;1999-02-13;310,70;309,00;310,70;311,60
44;1999-02-14;303,90;303,90;306,50;306,40
45;1999-02-15;307,00;306,40;307,10;306,60
46;1999-02-16;308,10;304,50;306,00;306,50
47;1999-02-17;304,30;304,90;305,30;305,00
48;1999-02-18;307,70;308,00;308,10;308,20
49;1999-02-19;308,90;308,00;308,40;308,00
50;1999-02-20;311,20;310,90;310,10;310,50
51;1999-02-21;312,20;312,10;311,90;309,90
52;1999-02-22;310,10;310,20;312,50;310,10
53;1999-02-23;311,10;310,60;312,50;313,00
54;1999-02-24;310,40;312,80;311,40;310,80
55;1999-02-25;313,10;314,90;313,90;312,40
56;1999-02-26;311,20;310,70;310,30;309,90
57;1999-02-27;309,30;309,70;309,60;310,00
58;1999-02-28;310,80;311,00;311,50;311,80
59;1999-03-01;311,70;311,80;312,40;312,20
60;1999-03-02;313,90;313,50;314,20;311,60
61;1999-03-03;310,90;311,40;312,40;313,50
62;1999-03-04;313,60;313,30;311,10;312,90
63;1999-03-05;313,60;312,60;311,40;313,00
64;1999-03-06;312,80;312,70;312,30;312,40
65;1999-03-07;311,60;312,50;313,10;312,50
66;1999-03-08;313,00;313,20;313,50;313,20
67;1999-03-09;310,80;309,80;307,90;308,20
68;1999-03-10;307,20;308,30;308,10;307,80
69;1999-03-11;308,50;307,80;308,20;308,00
70;1999-03-12;305,80;305,60;305,60;305,90
71;1999-03-13;307,20;307,10;307,20;307,90
72;1999-03-14;309,60;310,50;309,50;307,90
73;1999-03-15;308,00;308,10;307,30;307,70
74;1999-03-16;308,20;308,10;307,90;308,30
75;1999-03-17;303,50;306,80;306,20;308,00
76;1999-03-18;306,80;307,20;305,50;309,00
77;1999-03-19;308,40;309,00;307,90;308,10
78;1999-03-20;305,80;303,60;307,10;306,30
79;1999-03-21;299,90;300,30;303,10;303,40
80;1999-03-22;304,30;303,40;303,70;304,00
81;1999-03-23;306,90;308,10;307,40;306,60
82;1999-03-24;308,10;308,30;308,50;308,20
83;1999-03-25;308,60;308,70;309,60;309,80
84;1999-03-26;309,10;307,10;309,00;309,80
85;1999-03-27;305,60;307,80;308,30;306,90
86;1999-03-28;305,20;306,60;307,40;307,90
87;1999-03-29;306,10;306,60;307,40;309,30
88;1999-03-30;293,70;297,10;297,80;296,80
89;1999-03-31;297,00;296,80;298,30;298,70
90;1999-04-01;295,00;296,40;299,30;300,40
91;1999-04-02;293,50;292,50;293,20;293,90
92;1999-04-03;294,00;294,20;293,80;292,80
93;1999-04-04;292,90;293,70;294,40;294,70
94;1999-04-05;295,80;296,60;298,50;297,00
95;1999-04-06;293,20;293,40;294,00;293,30
96;1999-04-07;292,50;292,00;292,80;292,80
97;1999-04-08;289,10;289,50;289,10;289,40
98;1999-04-09;290,20;290,70;291,90;291,50
99;1999-04-10;291,40;291,60;292,00;292,70
100;1999-04-11;292,70;293,00;293,40;293,30
101;1999-04-12;294,10;293,00;293,50;293,50
102;1999-04-13;295,60;294,60;295,40;295,90
103;1999-04-14;295,60;296,80;295,90;296,50
104;1999-04-15;295,80;295,50;296,90;295,80
105;1999-04-16;296,20;294,50;294,80;296,00
106;1999-04-17;289,00;288,80;288,50;289,00
107;1999-04-18;291,70;291,50;291,80;291,70
