;fecha;tmin_00;tmin_06;tmin_12;tmin_18
0;1999-01-01;296,50;;;
1;1999-01-02;290,60;291,90;291,90;293,10
2;1999-01-03;293,60;295,10;293,60;293,90
3;1999-01-04;297,70;298,30;298,40;297,40
4;1999-01-05;294,40;294,50;295,80;298,20
5;1999-01-06;296,30;296,90;296,30;295,80
6;1999-01-07;294,20;294,30;294,30;293,80
7;1999-01-08;294,80;294,60;293,80;293,10
8;1999-01-09;300,30;299,90;297,90;296,40
9;1999-01-10;295,70;295,70;295,60;294,70
10;1999-01-11;293,20;293,60;293,80;293,20
11;1999-01-12;294,80;296,80;295,10;294,70
12;1999-01-13;295,00;296,10;296,80;296,50
13;1999-01-14;297,70;296,40;297,60;297,70
14;1999-01-15;294,50;294,00;293,60;293,20
15;1999-01-16;293,90;292,80;293,00;292,10
16;1999-01-17;294,30;294,50;294,10;293,30
17;1999-01-18;299,80;299,40;298,80;298,90
18;1999-01-19;295,30;295,20;294,40;293,50
19;1999-01-20;292,80;293,10;293,20;292,10
20;1999-01-21;295,20;294,20;294,40;293,50
21;1999-01-22;298,00;299,30;296,30;297,30
22;1999-01-23;301,50;302,10;301,60;301,20
23;1999-01-24;301,50;301,30;301,40;302,50
24;1999-01-25;296,60;296,40;296,80;296,00
25;1999-01-26;296,10;297,80;299,20;298,40
26;1999-01-27;298,40;297,50;298,20;297,20
27;1999-01-28;294,90;294,30;293,50;292,50
28;1999-01-29;290,70;291,80;291,90;291,70
29;1999-01-30;292,10;292,30;290,80;291,10
30;1999-01-31;295,40;295,80;295,50;296,20
31;1999-02-01;299,10;298,80;298,60;296,30
32;1999-02-02;296,90;295,70;296,40;297,20
33;1999-02-03;295,60;295,10;294,60;294,80
34;1999-02-04;298,40;297,90;298,40;299,90
35;1999-02-05;299,60;299,70;298,50;297,10
36;1999-02-06;301,40;300,80;299,10;300,10
37;1999-02-07;298,90;295,80;297,40;300,90
38;1999-02-08;291,30;291,50;292,60;292,20
39;1999-02-09;293,00;292,50;292,60;293,20
40;1999-02-10;292,60;292,50;291,50;291,00
41;1999-02-11;293,30;293,30;292,80;291,80
42;1999-02-12;296,00;295,90;295,30;294,70
43;1999-02-13;296,20;294,10;293,70;293,90
44;1999-02-14;292,20;292,50;292,20;292,60
45;1999-02-15;296,70;296,00;295,20;293,20
46;1999-02-16;294,50;294,80;295,70;295,30
47;1999-02-17;288,80;290,20;289,70;287,90
48;1999-02-18;293,20;293,90;291,20;291,40
49;1999-02-19;295,20;294,30;293,90;294,10
50;1999-02-20;294,30;294,50;295,10;294,50
51;1999-02-21;296,40;296,30;296,00;295,30
52;1999-02-22;298,50;298,00;297,90;297,20
53;1999-02-23;298,70;298,10;298,50;297,30
54;1999-02-24;298,10;300,30;301,10;300,90
55;1999-02-25;300,10;299,40;299,70;297,80
56;1999-02-26;297,60;298,20;297,40;296,70
57;1999-02-27;297,10;298,60;298,90;297,80
58;1999-02-28;298,70;297,60;298,60;298,30
59;1999-03-01;299,70;298,80;296,80;295,60
60;1999-03-02;301,00;299,20;300,20;300,70
61;1999-03-03;298,60;298,90;298,40;298,60
62;1999-03-04;300,60;300,60;300,40;299,40
63;1999-03-05;303,20;302,50;302,10;303,20
64;1999-03-06;302,00;302,70;302,40;300,40
65;1999-03-07;302,50;301,50;303,50;300,80
66;1999-03-08;302,00;301,60;301,20;300,20
67;1999-03-09;297,40;296,70;297,30;297,30
68;1999-03-10;295,10;297,30;296,20;296,70
69;1999-03-11;296,30;296,20;296,60;296,20
70;1999-03-12;292,40;292,90;293,30;293,50
71;1999-03-13;293,60;293,10;294,10;293,80
72;1999-03-14;298,50;298,10;297,30;296,70
73;1999-03-15;297,30;297,70;295,40;297,00
74;1999-03-16;296,10;297,00;296,50;296,10
75;1999-03-17;297,20;297,10;297,10;297,00
76;1999-03-18;296,10;295,30;295,70;295,00
77;1999-03-19;295,90;295,80;295,90;295,90
78;1999-03-20;296,50;296,00;296,40;296,00
79;1999-03-21;295,00;295,30;294,90;294,70
80;1999-03-22;295,10;295,80;295,80;295,40
81;1999-03-23;295,60;295,10;295,30;294,90
82;1999-03-24;296,10;296,00;295,80;294,80
83;1999-03-25;296,60;297,10;297,60;297,20
84;1999-03-26;297,20;296,80;297,10;298,30
85;1999-03-27;297,10;297,60;297,40;297,30
86;1999-03-28;298,70;299,00;299,30;298,50
87;1999-03-29;290,00;289,90;290,50;290,20
88;1999-03-30;290,40;291,20;290,10;291,60
89;1999-03-31;290,30;291,60;292,10;292,20
90;1999-04-01;289,90;289,20;290,10;290,10
91;1999-04-02;291,20;291,00;292,00;291,30
92;1999-04-03;290,60;290,20;290,10;290,50
93;1999-04-04;289,80;290,00;290,80;291,10
94;1999-04-05;289,40;289,40;291,60;290,60
95;1999-04-06;291,00;291,20;291,20;290,60
96;1999-04-07;288,50;288,60;288,80;288,20
97;1999-04-08;287,90;287,20;287,40;287,30
98;1999-04-09;288,70;288,60;288,90;289,10
99;1999-04-10;289,40;289,80;289,90;289,80
100;1999-04-11;;290,90;291,70;291,90
101;1999-04-12;289,60;289,70;289,30;289,00
102;1999-04-13;286,30;286,50;287,10;286,80
103;1999-04-14;287,70;284,50;286,70;287,10
104;1999-04-15;291,10;291,10;291,00;291,70
105;1999-04-16;282,70;282,40;283,40;282,90
106;1999-04-17;278,00;278,30;277,60;277,80
107;1999-04-18;276,60;276,60;276,60;276,90
108;1999-04-19;277,30;277,60;277,80;278,30
109;1999-04-20;282,60;286,00;282,90;284,90
110;1999-04-21;285,30;285,70;285,40;284,80
111;1999-04-22;289,30;290,20;290,20;288,90
112;1999-04-23;292,30;292,30;293,30;293,20
113;1999-04-24;294,20;293,50;294,30;294,40
114;1999-04-25;294,50;294,80;295,10;295,00
115;1999-04-26;293,40;293,50;293,10;293,60
116;1999-04-27;292,10;291,60;292,00;291,60
117;1999-04-28;289,00;288,60;287,70;286,70
118;1999-04-29;288,20;287,30;285,50;285,60
