fecha;radsup
2008-12-01;20,20
2008-12-02;14,19
2008-12-03;15,99
2008-12-04;28,77
2008-12-05;29,31
2008-12-06;28,52
2008-12-07;28,92
2008-12-08;27,88
2008-12-09;17,06
2008-12-10;16,37
2008-12-11;8,37
2008-12-12;29,51
2008-12-13;29,72
2008-12-14;18,90
2008-12-15;24,08
2008-12-16;22,53
2008-12-17;28,33
2008-12-18;18,66
2008-12-19;26,93
2008-12-20;6,99
2008-12-21;21,95
2008-12-22;28,25
2008-12-23;29,11
2008-12-24;29,23
2008-12-25;27,09
2008-12-26;15,88
2008-12-27;7,74
2008-12-28;8,82
2008-12-29;19,63
2008-12-30;26,17
