fecha;precip
2009-01-12;109,02
2009-01-13;60,93
2009-01-14;0,00
2009-01-15;0,00
2009-01-16;0,15
2009-01-17;2,85
2009-01-18;0,00
2009-01-19;0,00
2009-01-20;0,00
2009-01-21;0,00
2009-01-22;0,00
2009-01-23;0,06
2009-01-24;4,38
2009-01-25;17,80
2009-01-26;16,29
2009-01-27;50,70
2009-01-28;0,91
2009-01-29;0,00
2009-01-30;0,00
2009-01-31;1,38
2009-02-01;1,12
2009-02-02;9,40
2009-02-03;1,45
2009-02-04;0,00
2009-02-05;0,00
2009-02-06;0,00
2009-02-07;0,00
2009-02-08;1,38
2009-02-09;10,97
2009-02-10;75,97
