fecha;tmin
2009-02-16;299,00
2009-02-17;297,50
2009-02-18;298,20
2009-02-19;300,10
2009-02-20;301,40
2009-02-21;298,60
2009-02-22;295,30
2009-02-23;293,80
2009-02-24;294,80
2009-02-25;293,30
2009-02-26;292,50
2009-02-27;293,40
2009-02-28;294,80
2009-03-01;293,00
2009-03-02;292,40
2009-03-03;297,30
2009-03-04;299,10
2009-03-05;296,60
2009-03-06;295,20
2009-03-07;295,70
2009-03-08;297,50
2009-03-09;295,00
2009-03-10;295,40
2009-03-11;295,80
2009-03-12;296,60
2009-03-13;294,00
2009-03-14;292,70
2009-03-15;295,30
2009-03-16;297,20
2009-03-17;292,10
