fecha;hrmean
2009-05-11;66,86
2009-05-12;63,93
2009-05-13;84,51
2009-05-14;93,88
2009-05-15;74,72
2009-05-16;73,53
2009-05-17;68,37
2009-05-18;62,98
2009-05-19;59,73
2009-05-20;59,56
2009-05-21;61,80
2009-05-22;59,31
2009-05-23;57,95
2009-05-24;58,06
2009-05-25;58,83
2009-05-26;57,05
2009-05-27;56,96
2009-05-28;74,04
2009-05-29;65,09
2009-05-30;64,61
2009-05-31;62,09
2009-06-01;69,40
2009-06-02;75,98
2009-06-03;76,26
2009-06-04;74,98
2009-06-05;82,30
2009-06-06;98,64
2009-06-07;84,09
2009-06-08;88,54
2009-06-09;73,95
