fecha;tmax
2009-05-11;306,00
2009-05-12;301,00
2009-05-13;303,30
2009-05-14;290,80
2009-05-15;289,80
2009-05-16;292,20
2009-05-17;296,40
2009-05-18;297,90
2009-05-19;298,00
2009-05-20;296,40
2009-05-21;292,70
2009-05-22;299,50
2009-05-23;302,80
2009-05-24;298,30
2009-05-25;288,50
2009-05-26;289,70
2009-05-27;289,80
2009-05-28;293,30
2009-05-29;288,80
2009-05-30;289,40
2009-05-31;289,50
2009-06-01;292,50
2009-06-02;289,30
2009-06-03;288,40
2009-06-04;290,70
2009-06-05;291,60
2009-06-06;291,70
2009-06-07;291,40
2009-06-08;293,20
2009-06-09;295,80
