fecha;radsup
2002-12-30;9,83
2002-12-31;15,08
2003-01-01;16,75
2003-01-02;16,62
2003-01-03;15,12
2003-01-04;16,78
2003-01-05;15,81
2003-01-06;23,73
2003-01-07;27,81
2003-01-08;28,04
2003-01-09;28,15
2003-01-10;28,06
2003-01-11;26,08
2003-01-12;27,08
2003-01-13;25,97
2003-01-14;25,26
2003-01-15;22,55
2003-01-16;23,31
2003-01-17;14,53
2003-01-18;4,28
2003-01-19;20,25
2003-01-20;17,19
2003-01-21;8,37
2003-01-22;18,56
2003-01-23;19,93
2003-01-24;21,01
2003-01-25;27,05
2003-01-26;26,99
2003-01-27;19,35
2003-01-28;24,88
