fecha;precip
2003-01-20;12,77
2003-01-21;30,59
2003-01-22;0,63
2003-01-23;10,74
2003-01-24;0,00
2003-01-25;0,13
2003-01-26;0,00
2003-01-27;0,00
2003-01-28;18,23
2003-01-29;0,09
2003-01-30;0,84
2003-01-31;2,57
2003-02-01;1,64
2003-02-02;10,45
2003-02-03;7,15
2003-02-04;55,58
2003-02-05;8,51
2003-02-06;10,63
2003-02-07;18,96
2003-02-08;0,37
2003-02-09;1,68
2003-02-10;1,90
2003-02-11;1,02
2003-02-12;7,00
2003-02-13;6,11
2003-02-14;18,62
2003-02-15;6,91
2003-02-16;0,69
2003-02-17;0,00
2003-02-18;0,00
