fecha;tmax
2003-04-07;298,90
2003-04-08;299,60
2003-04-09;301,20
2003-04-10;298,40
2003-04-11;294,00
2003-04-12;295,10
2003-04-13;297,20
2003-04-14;300,70
2003-04-15;301,30
2003-04-16;298,40
2003-04-17;296,70
2003-04-18;297,50
2003-04-19;299,40
2003-04-20;302,90
2003-04-21;302,60
2003-04-22;297,30
2003-04-23;293,90
2003-04-24;294,80
2003-04-25;297,00
2003-04-26;297,80
2003-04-27;293,90
2003-04-28;294,40
2003-04-29;294,70
2003-04-30;293,70
2003-05-01;297,00
2003-05-02;293,20
2003-05-03;292,80
2003-05-04;299,00
2003-05-05;295,50
2003-05-06;292,90
