fecha;tmin
2003-04-14;281,60
2003-04-15;283,60
2003-04-16;286,80
2003-04-17;290,90
2003-04-18;290,80
2003-04-19;283,90
2003-04-20;284,10
2003-04-21;284,60
2003-04-22;279,00
2003-04-23;281,70
2003-04-24;285,10
2003-04-25;284,90
2003-04-26;288,30
2003-04-27;287,20
2003-04-28;289,60
2003-04-29;285,20
2003-04-30;282,50
2003-05-01;280,00
2003-05-02;283,40
2003-05-03;286,10
2003-05-04;288,10
2003-05-05;284,50
2003-05-06;282,90
2003-05-07;287,10
2003-05-08;285,60
2003-05-09;285,70
2003-05-10;288,80
2003-05-11;289,20
2003-05-12;290,60
2003-05-13;290,10
