fecha;hrmean
2003-04-28;99,84
2003-04-29;99,17
2003-04-30;99,23
2003-05-01;88,49
2003-05-02;85,21
2003-05-03;92,92
2003-05-04;89,30
2003-05-05;81,24
2003-05-06;84,37
2003-05-07;83,57
2003-05-08;87,90
2003-05-09;84,61
2003-05-10;84,93
2003-05-11;98,35
2003-05-12;88,48
2003-05-13;71,23
2003-05-14;84,27
2003-05-15;93,35
2003-05-16;92,80
2003-05-17;77,10
2003-05-18;86,81
2003-05-19;85,74
2003-05-20;81,89
2003-05-21;83,58
2003-05-22;80,07
2003-05-23;93,59
2003-05-24;99,36
2003-05-25;95,31
2003-05-26;85,02
2003-05-27;92,99
