fecha;radsup
2008-12-03;21,78
2008-12-04;28,99
2008-12-05;29,78
2008-12-06;29,73
2008-12-07;28,61
2008-12-08;3,34
2008-12-09;24,95
2008-12-10;21,40
2008-12-11;22,84
2008-12-12;27,76
2008-12-13;28,24
2008-12-14;29,10
2008-12-15;29,47
2008-12-16;22,05
2008-12-17;26,29
2008-12-18;20,78
2008-12-19;23,99
2008-12-20;28,05
2008-12-21;29,12
2008-12-22;27,68
2008-12-23;17,81
2008-12-24;27,78
2008-12-25;28,37
2008-12-26;20,88
2008-12-27;17,84
2008-12-28;17,27
2008-12-29;17,09
2008-12-30;18,45
2008-12-31;30,21
2009-01-01;29,74
