fecha;hrmean
2008-12-24;86,93
2008-12-25;54,17
2008-12-26;38,75
2008-12-27;35,84
2008-12-28;28,80
2008-12-29;35,68
2008-12-30;51,32
2008-12-31;40,72
2009-01-01;85,80
2009-01-02;65,00
2009-01-03;57,66
2009-01-04;55,63
2009-01-05;66,95
2009-01-06;65,60
2009-01-07;49,75
2009-01-08;48,00
2009-01-09;49,05
2009-01-10;80,67
2009-01-11;58,25
2009-01-12;61,08
2009-01-13;50,57
2009-01-14;48,66
2009-01-15;75,47
2009-01-16;62,64
2009-01-17;64,26
2009-01-18;96,34
2009-01-19;83,51
2009-01-20;78,12
2009-01-21;73,13
2009-01-22;69,66
