fecha;precip
2009-02-04;5,72
2009-02-05;13,24
2009-02-06;59,88
2009-02-07;10,54
2009-02-08;1,66
2009-02-09;17,24
2009-02-10;1,38
2009-02-11;2,10
2009-02-12;33,89
2009-02-13;36,87
2009-02-14;0,00
2009-02-15;0,00
2009-02-16;0,24
2009-02-17;0,19
2009-02-18;0,00
2009-02-19;0,00
2009-02-20;0,00
2009-02-21;0,00
2009-02-22;0,00
2009-02-23;0,00
2009-02-24;0,00
2009-02-25;0,00
2009-02-26;0,00
2009-02-27;0,00
2009-02-28;0,00
2009-03-01;3,93
2009-03-02;18,94
2009-03-03;0,17
2009-03-04;0,04
2009-03-05;0,00
