fecha;tmax
2009-02-20;311,40
2009-02-21;313,10
2009-02-22;305,90
2009-02-23;302,50
2009-02-24;298,60
2009-02-25;295,20
2009-02-26;302,30
2009-02-27;303,20
2009-02-28;303,80
2009-03-01;306,50
2009-03-02;305,30
2009-03-03;308,20
2009-03-04;311,10
2009-03-05;311,90
2009-03-06;305,10
2009-03-07;293,90
2009-03-08;292,60
2009-03-09;300,10
2009-03-10;301,70
2009-03-11;302,10
2009-03-12;300,60
2009-03-13;300,70
2009-03-14;304,30
2009-03-15;301,10
2009-03-16;303,40
2009-03-17;306,00
2009-03-18;305,20
2009-03-19;304,40
2009-03-20;303,00
2009-03-21;300,00
