fecha;tmin
2009-04-21;286,80
2009-04-22;290,10
2009-04-23;289,80
2009-04-24;292,70
2009-04-25;292,10
2009-04-26;290,00
2009-04-27;285,70
2009-04-28;282,10
2009-04-29;283,10
2009-04-30;286,10
2009-05-01;286,30
2009-05-02;288,30
2009-05-03;289,20
2009-05-04;290,20
2009-05-05;286,50
2009-05-06;281,00
2009-05-07;277,80
2009-05-08;280,40
2009-05-09;284,50
2009-05-10;287,80
2009-05-11;285,60
2009-05-12;287,70
2009-05-13;291,50
2009-05-14;291,70
2009-05-15;296,80
2009-05-16;289,40
2009-05-17;285,50
2009-05-18;284,30
2009-05-19;284,60
2009-05-20;282,20
