Prct;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1,000;1,033;1,052;1,108;1,034;1,018;1,022;1,069;1,068;1,065;1,052;1,045;1,033
2,000;1,070;1,101;1,119;1,106;1,082;1,066;1,106;1,103;1,106;1,102;1,118;1,070
3,000;1,151;1,150;1,196;1,121;1,118;1,089;1,143;1,133;1,132;1,129;1,139;1,151
4,000;1,192;1,180;1,227;1,240;1,210;1,128;1,168;1,164;1,156;1,145;1,170;1,178
5,000;1,218;1,220;1,283;1,280;1,274;1,208;1,204;1,200;1,174;1,170;1,219;1,214
6,000;1,247;1,272;1,351;1,327;1,325;1,271;1,258;1,218;1,226;1,230;1,267;1,256
7,000;1,282;1,289;1,373;1,370;1,382;1,308;1,273;1,252;1,256;1,298;1,317;1,279
8,000;1,323;1,354;1,404;1,404;1,407;1,351;1,278;1,272;1,276;1,380;1,372;1,326
9,000;1,359;1,378;1,420;1,433;1,435;1,404;1,317;1,276;1,316;1,544;1,476;1,411
10,000;1,410;1,409;1,438;1,448;1,458;1,435;1,371;1,346;1,360;1,592;1,502;1,471
11,000;1,422;1,435;1,461;1,464;1,472;1,460;1,434;1,363;1,514;1,616;1,546;1,491
12,000;1,452;1,449;1,490;1,499;1,507;1,478;1,468;1,505;1,553;1,721;1,597;1,533
13,000;1,485;1,485;1,504;1,532;1,575;1,542;1,509;1,553;1,587;1,776;1,720;1,553
14,000;1,500;1,501;1,535;1,574;1,644;1,587;1,565;1,583;1,620;1,808;1,795;1,636
15,000;1,527;1,529;1,597;1,682;1,681;1,650;1,596;1,591;1,726;2,029;1,853;1,696
16,000;1,555;1,587;1,710;1,728;1,740;1,669;1,652;1,623;1,776;2,102;1,956;1,744
17,000;1,618;1,672;1,751;1,765;1,778;1,742;1,724;1,725;1,838;2,171;2,035;1,803
18,000;1,700;1,704;1,818;1,806;1,871;1,776;1,776;1,768;2,022;2,330;2,106;1,865
19,000;1,740;1,742;1,885;1,900;1,907;1,877;1,890;1,836;2,080;2,394;2,172;1,910
20,000;1,802;1,807;1,950;1,951;1,958;1,932;1,963;1,974;2,127;2,437;2,223;1,960
21,000;1,834;1,859;2,030;2,069;2,077;2,018;2,043;2,026;2,211;2,454;2,293;2,061
22,000;1,880;1,898;2,096;2,161;2,175;2,074;2,093;2,073;2,403;2,604;2,383;2,117
23,000;1,921;1,972;2,185;2,198;2,231;2,120;2,124;2,111;2,451;2,842;2,418;2,223
24,000;1,960;2,048;2,335;2,319;2,277;2,190;2,185;2,185;2,511;2,892;2,469;2,264
25,000;2,016;2,177;2,458;2,485;2,347;2,246;2,257;2,280;2,641;2,991;2,663;2,369
26,000;2,080;2,326;2,505;2,527;2,442;2,274;2,277;2,393;2,850;3,077;2,814;2,396
27,000;2,223;2,425;2,550;2,636;2,489;2,287;2,297;2,452;2,899;3,145;2,859;2,451
28,000;2,325;2,462;2,624;2,784;2,549;2,387;2,422;2,462;3,012;3,239;2,922;2,532
29,000;2,383;2,525;2,720;2,958;2,725;2,460;2,482;2,539;3,394;3,560;2,998;2,577
30,000;2,435;2,587;2,783;3,096;2,765;2,508;2,534;2,584;3,560;3,591;3,083;2,723
31,000;2,464;2,652;2,964;3,253;2,904;2,563;2,577;2,650;3,580;3,692;3,150;2,800
32,000;2,518;2,734;3,051;3,349;2,991;2,700;2,676;2,789;3,687;3,980;3,241;2,885
33,000;2,575;2,780;3,255;3,543;3,056;2,739;2,737;2,844;3,946;4,146;3,532;2,926
34,000;2,648;2,922;3,319;3,694;3,204;2,789;2,759;2,918;4,147;4,260;3,684;2,980
35,000;2,724;2,999;3,397;3,811;3,280;2,873;2,829;2,985;4,304;4,506;3,856;3,014
36,000;2,783;3,056;3,734;3,924;3,417;2,960;2,913;3,117;4,458;4,721;3,989;3,080
37,000;2,869;3,114;3,841;4,012;3,552;3,018;2,998;3,254;4,713;4,974;4,150;3,140
38,000;2,922;3,288;3,947;4,248;3,645;3,082;3,085;3,551;4,966;5,014;4,257;3,212
39,000;2,980;3,344;4,061;4,509;3,738;3,194;3,242;3,578;5,011;5,288;4,535;3,312
40,000;3,013;3,486;4,327;4,767;3,840;3,272;3,302;3,585;5,280;5,370;4,789;3,572
41,000;3,067;3,652;4,574;4,846;3,995;3,369;3,380;3,804;5,368;5,586;4,991;3,712
42,000;3,122;3,843;4,801;5,107;4,164;3,467;3,529;3,912;5,480;5,776;5,268;3,917
43,000;3,260;3,991;4,852;5,404;4,418;3,561;3,579;4,088;5,625;5,920;5,362;4,128
44,000;3,397;4,185;5,378;5,620;4,523;3,639;3,647;4,282;5,777;6,194;5,465;4,200
45,000;3,569;4,349;5,473;5,718;4,682;3,699;3,776;4,429;6,039;6,342;5,740;4,532
46,000;3,837;4,651;5,707;5,966;4,851;3,780;3,869;4,551;6,161;6,462;5,893;4,710
47,000;3,981;4,825;6,003;6,077;4,921;3,882;3,994;4,763;6,270;6,542;6,145;4,952
48,000;4,195;5,124;6,077;6,180;5,115;4,011;4,207;4,985;6,345;6,811;6,264;5,248
49,000;4,598;5,395;6,180;6,269;5,379;4,269;4,280;5,112;6,452;7,038;6,417;5,337
50,000;4,828;5,720;6,275;6,450;5,473;4,418;4,418;5,311;6,515;7,179;6,515;5,490
51,000;5,159;6,009;6,453;6,729;5,601;4,517;4,439;5,492;6,698;7,447;6,593;5,804
52,000;5,340;6,071;6,698;7,029;5,690;4,621;4,570;5,764;6,833;7,787;7,006;6,045
53,000;5,431;6,211;6,871;7,215;5,924;4,814;4,711;6,082;6,940;7,990;7,155;6,352
54,000;5,643;6,509;7,199;7,269;6,176;4,921;4,847;6,191;7,358;8,471;7,271;6,581
55,000;6,004;6,706;7,267;7,409;6,319;5,090;4,999;6,261;7,615;8,695;7,596;6,663
56,000;6,145;6,793;7,417;7,723;6,431;5,212;5,135;6,308;7,785;8,885;7,915;7,001
57,000;6,385;7,043;7,771;7,987;6,678;5,467;5,390;6,422;8,142;9,167;8,242;7,180
58,000;6,585;7,262;8,008;8,294;7,104;5,653;5,578;6,613;8,436;9,368;8,573;7,300
59,000;6,640;7,412;8,285;8,474;7,247;5,822;5,665;6,704;8,677;9,455;8,832;7,646
60,000;6,782;7,758;8,622;8,802;7,498;6,107;6,029;6,831;8,835;9,660;9,153;7,903
61,000;7,201;7,956;8,838;8,896;8,078;6,273;6,220;6,858;8,931;10,112;9,647;8,318
62,000;7,393;8,300;8,993;8,999;8,255;6,415;6,280;7,098;9,214;10,319;10,070;8,585
63,000;7,878;8,561;9,477;9,452;8,357;6,555;6,348;7,420;9,405;10,501;10,331;8,687
64,000;8,185;8,641;10,056;9,830;8,554;6,746;6,469;7,510;9,571;10,657;10,457;9,300
65,000;8,508;8,919;10,442;10,174;8,773;6,996;6,683;7,680;9,722;10,982;10,813;10,013
66,000;8,628;9,300;10,790;10,752;8,892;7,211;6,781;7,781;10,113;11,083;10,981;10,367
67,000;8,915;9,795;11,128;11,233;9,083;7,479;6,869;8,275;10,331;11,343;11,104;10,571
68,000;9,678;10,273;11,330;11,654;9,680;7,701;7,067;8,490;10,590;11,595;11,645;10,929
69,000;10,274;10,680;11,853;11,915;10,065;8,053;7,415;8,881;10,724;11,822;11,876;11,523
70,000;10,450;10,892;12,260;12,294;10,301;8,277;7,520;9,072;10,980;12,024;12,158;11,919
71,000;10,789;11,553;12,656;12,746;11,226;8,431;7,706;9,185;11,076;12,924;12,860;12,330
72,000;10,908;12,145;13,304;13,067;11,589;8,639;8,078;9,403;11,474;13,230;13,276;12,751
73,000;12,165;12,562;13,878;13,542;11,913;8,799;8,245;9,450;11,631;13,406;13,650;13,394
74,000;12,473;13,198;14,747;14,482;12,296;9,051;8,429;9,602;12,008;13,942;14,303;13,724
75,000;13,381;13,440;15,238;14,941;12,586;9,184;8,620;9,764;12,766;14,363;14,969;14,478
76,000;13,760;14,060;15,793;15,445;12,956;9,502;8,891;9,978;13,110;15,176;15,331;15,007
77,000;14,895;15,226;16,400;15,781;13,427;9,852;9,164;10,320;13,283;15,681;15,896;15,848
78,000;15,260;16,505;16,664;16,390;14,054;9,968;9,505;10,616;13,574;16,907;16,267;16,292
