Prct;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1,000;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100
2,000;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,104;0,100
3,000;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,100;0,200;0,100
4,000;0,200;0,100;0,200;0,100;0,100;0,100;0,100;0,100;0,100;0,200;0,200;0,200
5,000;0,200;0,200;0,200;0,200;0,100;0,100;0,100;0,100;0,100;0,200;0,200;0,200
6,000;0,200;0,200;0,200;0,200;0,100;0,100;0,100;0,100;0,200;0,200;0,200;0,200
7,000;0,200;0,200;0,300;0,200;0,100;0,100;0,100;0,100;0,200;0,200;0,264;0,231
8,000;0,300;0,288;0,300;0,200;0,200;0,100;0,100;0,200;0,200;0,208;0,300;0,300
9,000;0,300;0,300;0,400;0,300;0,200;0,163;0,100;0,200;0,200;0,300;0,300;0,300
10,000;0,350;0,400;0,400;0,300;0,200;0,200;0,100;0,200;0,200;0,300;0,300;0,300
11,000;0,500;0,400;0,499;0,300;0,200;0,200;0,200;0,200;0,200;0,300;0,400;0,363
12,000;0,500;0,500;0,500;0,400;0,300;0,200;0,200;0,200;0,200;0,300;0,500;0,400
13,000;0,500;0,500;0,600;0,400;0,300;0,200;0,200;0,200;0,300;0,400;0,500;0,500
14,000;0,600;0,600;0,626;0,400;0,300;0,200;0,200;0,200;0,300;0,464;0,600;0,500
15,000;0,700;0,600;0,700;0,400;0,300;0,200;0,200;0,200;0,300;0,500;0,700;0,500
16,000;0,700;0,700;0,700;0,500;0,328;0,212;0,200;0,200;0,300;0,516;0,732;0,700
17,000;0,800;0,700;0,800;0,500;0,400;0,300;0,200;0,300;0,400;0,600;0,800;0,800
18,000;0,800;0,800;0,800;0,500;0,400;0,300;0,200;0,300;0,500;0,668;0,900;0,800
19,000;0,900;0,800;0,900;0,600;0,400;0,300;0,200;0,300;0,500;0,700;0,900;0,900
20,000;0,900;0,900;0,900;0,680;0,400;0,300;0,300;0,300;0,600;0,800;1,000;1,000
21,000;1,000;0,931;1,000;0,700;0,400;0,300;0,300;0,300;0,600;0,800;1,000;1,000
22,000;2,000;1,000;1,000;0,748;0,500;0,300;0,300;0,300;0,632;0,900;1,344;1,556
23,000;2,000;1,159;1,021;0,800;0,500;0,400;0,300;0,300;0,700;0,900;2,000;2,000
24,000;2,000;2,000;1,664;0,900;0,500;0,400;0,300;0,400;0,744;1,000;2,000;2,000
25,000;2,000;2,000;2,000;0,900;0,600;0,400;0,300;0,400;0,800;1,000;2,000;2,000
26,000;2,000;2,000;2,000;1,000;0,600;0,400;0,380;0,400;0,900;1,000;2,000;2,000
27,000;3,000;2,000;2,000;1,000;0,600;0,400;0,400;0,500;0,912;1,006;2,000;2,000
28,000;3,000;2,000;2,000;1,000;0,700;0,400;0,400;0,500;1,000;1,856;2,000;2,168
29,000;3,000;3,000;2,000;1,000;0,700;0,403;0,400;0,536;1,000;2,000;2,724;3,000
30,000;3,000;3,000;2,700;1,440;0,800;0,500;0,400;0,600;1,000;2,000;3,000;3,000
31,000;3,000;3,000;3,000;2,000;0,800;0,500;0,480;0,700;1,000;2,000;3,000;3,000
32,000;3,000;3,000;3,000;2,000;0,800;0,500;0,500;0,700;1,768;2,000;3,000;3,000
